command,type,verification_status,source
*RST,action,pending-review,"AREG_UserManual_en_08.pdf#page=168, AREG_UserManual_en_08.pdf#page=172, AREG_UserManual_en_08.pdf#page=176, AREG_UserManual_en_08.pdf#page=219, AREG_UserManual_en_08.pdf#page=221, AREG_UserManual_en_08.pdf#page=298, AREG_UserManual_en_08.pdf#page=339, AREG_UserManual_en_08.pdf#page=361, AREG_UserManual_en_08.pdf#page=362, AREG_UserManual_en_08.pdf#page=363, AREG_UserManual_en_08.pdf#page=365, AREG_UserManual_en_08.pdf#page=367, AREG_UserManual_en_08.pdf#page=368, AREG_UserManual_en_08.pdf#page=371, AREG_UserManual_en_08.pdf#page=372, AREG_UserManual_en_08.pdf#page=374, AREG_UserManual_en_08.pdf#page=377, AREG_UserManual_en_08.pdf#page=378, AREG_UserManual_en_08.pdf#page=380, AREG_UserManual_en_08.pdf#page=381, AREG_UserManual_en_08.pdf#page=382, AREG_UserManual_en_08.pdf#page=384, AREG_UserManual_en_08.pdf#page=385, AREG_UserManual_en_08.pdf#page=386, AREG_UserManual_en_08.pdf#page=388, AREG_UserManual_en_08.pdf#page=389, AREG_UserManual_en_08.pdf#page=390, AREG_UserManual_en_08.pdf#page=391, AREG_UserManual_en_08.pdf#page=392, AREG_UserManual_en_08.pdf#page=393, AREG_UserManual_en_08.pdf#page=394, AREG_UserManual_en_08.pdf#page=413, AREG_UserManual_en_08.pdf#page=414, AREG_UserManual_en_08.pdf#page=416, AREG_UserManual_en_08.pdf#page=417, AREG_UserManual_en_08.pdf#page=418, AREG_UserManual_en_08.pdf#page=420, AREG_UserManual_en_08.pdf#page=421, AREG_UserManual_en_08.pdf#page=422, AREG_UserManual_en_08.pdf#page=425, AREG_UserManual_en_08.pdf#page=427, AREG_UserManual_en_08.pdf#page=428, AREG_UserManual_en_08.pdf#page=430, AREG_UserManual_en_08.pdf#page=431, AREG_UserManual_en_08.pdf#page=432, AREG_UserManual_en_08.pdf#page=435, AREG_UserManual_en_08.pdf#page=436, AREG_UserManual_en_08.pdf#page=437, AREG_UserManual_en_08.pdf#page=438, AREG_UserManual_en_08.pdf#page=439, AREG_UserManual_en_08.pdf#page=440, AREG_UserManual_en_08.pdf#page=441, AREG_UserManual_en_08.pdf#page=442, AREG_UserManual_en_08.pdf#page=443, AREG_UserManual_en_08.pdf#page=444, AREG_UserManual_en_08.pdf#page=448, AREG_UserManual_en_08.pdf#page=449, AREG_UserManual_en_08.pdf#page=450, AREG_UserManual_en_08.pdf#page=451, AREG_UserManual_en_08.pdf#page=452, AREG_UserManual_en_08.pdf#page=453, AREG_UserManual_en_08.pdf#page=454, AREG_UserManual_en_08.pdf#page=455, AREG_UserManual_en_08.pdf#page=456, AREG_UserManual_en_08.pdf#page=457, AREG_UserManual_en_08.pdf#page=458, AREG_UserManual_en_08.pdf#page=459, AREG_UserManual_en_08.pdf#page=460, AREG_UserManual_en_08.pdf#page=461, AREG_UserManual_en_08.pdf#page=462, AREG_UserManual_en_08.pdf#page=463, AREG_UserManual_en_08.pdf#page=466, AREG_UserManual_en_08.pdf#page=467, AREG_UserManual_en_08.pdf#page=468, AREG_UserManual_en_08.pdf#page=469, AREG_UserManual_en_08.pdf#page=470, AREG_UserManual_en_08.pdf#page=471, AREG_UserManual_en_08.pdf#page=472, AREG_UserManual_en_08.pdf#page=474, AREG_UserManual_en_08.pdf#page=477, AREG_UserManual_en_08.pdf#page=478, AREG_UserManual_en_08.pdf#page=480, AREG_UserManual_en_08.pdf#page=481, AREG_UserManual_en_08.pdf#page=482, AREG_UserManual_en_08.pdf#page=484, AREG_UserManual_en_08.pdf#page=485, AREG_UserManual_en_08.pdf#page=486, AREG_UserManual_en_08.pdf#page=487, AREG_UserManual_en_08.pdf#page=489, AREG_UserManual_en_08.pdf#page=490, AREG_UserManual_en_08.pdf#page=492, AREG_UserManual_en_08.pdf#page=493, AREG_UserManual_en_08.pdf#page=494, AREG_UserManual_en_08.pdf#page=495, AREG_UserManual_en_08.pdf#page=496, AREG_UserManual_en_08.pdf#page=497, AREG_UserManual_en_08.pdf#page=499, AREG_UserManual_en_08.pdf#page=500, AREG_UserManual_en_08.pdf#page=501, AREG_UserManual_en_08.pdf#page=504, AREG_UserManual_en_08.pdf#page=505, AREG_UserManual_en_08.pdf#page=506, AREG_UserManual_en_08.pdf#page=507, AREG_UserManual_en_08.pdf#page=508, AREG_UserManual_en_08.pdf#page=509, AREG_UserManual_en_08.pdf#page=510, AREG_UserManual_en_08.pdf#page=511, AREG_UserManual_en_08.pdf#page=512, AREG_UserManual_en_08.pdf#page=515, AREG_UserManual_en_08.pdf#page=516, AREG_UserManual_en_08.pdf#page=517, AREG_UserManual_en_08.pdf#page=518, AREG_UserManual_en_08.pdf#page=519, AREG_UserManual_en_08.pdf#page=522, AREG_UserManual_en_08.pdf#page=523, AREG_UserManual_en_08.pdf#page=524, AREG_UserManual_en_08.pdf#page=525, AREG_UserManual_en_08.pdf#page=526, AREG_UserManual_en_08.pdf#page=527, AREG_UserManual_en_08.pdf#page=528, AREG_UserManual_en_08.pdf#page=529, AREG_UserManual_en_08.pdf#page=530, AREG_UserManual_en_08.pdf#page=531, AREG_UserManual_en_08.pdf#page=532, AREG_UserManual_en_08.pdf#page=533, AREG_UserManual_en_08.pdf#page=584, Remote_Control_SCPI_GettingStarted_en_04.pdf, Remote_Control_SCPI_GettingStarted_en_04.pdf#page=14, Remote_Control_SCPI_GettingStarted_en_04.pdf#page=18, Remote_Control_SCPI_GettingStarted_en_04.pdf#page=33, Remote_Control_SCPI_GettingStarted_en_04.pdf#page=37, Remote_Control_SCPI_GettingStarted_en_04.pdf#page=42"
*SAV,action,extracted,"AREG_UserManual_en_08.pdf#page=224, AREG_UserManual_en_08.pdf#page=363, AREG_UserManual_en_08.pdf#page=365, AREG_UserManual_en_08.pdf#page=366, AREG_UserManual_en_08.pdf#page=397, AREG_UserManual_en_08.pdf#page=404, AREG_UserManual_en_08.pdf#page=584"
*SRE,action,extracted,"AREG_UserManual_en_08.pdf#page=363, AREG_UserManual_en_08.pdf#page=366, AREG_UserManual_en_08.pdf#page=584, Remote_Control_SCPI_GettingStarted_en_04.pdf#page=27, Remote_Control_SCPI_GettingStarted_en_04.pdf#page=28, Remote_Control_SCPI_GettingStarted_en_04.pdf#page=31, Remote_Control_SCPI_GettingStarted_en_04.pdf#page=36, Remote_Control_SCPI_GettingStarted_en_04.pdf#page=38, Remote_Control_SCPI_GettingStarted_en_04.pdf#page=39"
*SRE?,query,extracted,Remote_Control_SCPI_GettingStarted_en_04.pdf#page=28
*STB,action,extracted,Remote_Control_SCPI_GettingStarted_en_04.pdf#page=31
*STB?,query,extracted,"AREG_UserManual_en_08.pdf#page=363, AREG_UserManual_en_08.pdf#page=366, AREG_UserManual_en_08.pdf#page=584, Remote_Control_SCPI_GettingStarted_en_04.pdf#page=27, Remote_Control_SCPI_GettingStarted_en_04.pdf#page=28, Remote_Control_SCPI_GettingStarted_en_04.pdf#page=32, Remote_Control_SCPI_GettingStarted_en_04.pdf#page=37"
*TRG,action,extracted,"AREG_UserManual_en_08.pdf#page=363, AREG_UserManual_en_08.pdf#page=366, AREG_UserManual_en_08.pdf#page=584"
*TST?,query,extracted,"AREG_UserManual_en_08.pdf#page=363, AREG_UserManual_en_08.pdf#page=367, AREG_UserManual_en_08.pdf#page=584"
*WAI,action,extracted,"AREG_UserManual_en_08.pdf#page=363, AREG_UserManual_en_08.pdf#page=367, AREG_UserManual_en_08.pdf#page=584, Remote_Control_SCPI_GettingStarted_en_04.pdf#page=35, Remote_Control_SCPI_GettingStarted_en_04.pdf#page=38, Remote_Control_SCPI_GettingStarted_en_04.pdf#page=42"
:ADD,action,extracted,"AREG_UserManual_en_08.pdf#page=125, AREG_UserManual_en_08.pdf#page=156, AREG_UserManual_en_08.pdf#page=475, AREG_UserManual_en_08.pdf#page=478, AREG_UserManual_en_08.pdf#page=499, AREG_UserManual_en_08.pdf#page=580, AREG_UserManual_en_08.pdf#page=583"
:ADDRESS,action,extracted,"AREG_UserManual_en_08.pdf#page=304, AREG_UserManual_en_08.pdf#page=408, AREG_UserManual_en_08.pdf#page=417, AREG_UserManual_en_08.pdf#page=577"
:ADJUST,action,extracted,"AREG_UserManual_en_08.pdf#page=166, AREG_UserManual_en_08.pdf#page=172, AREG_UserManual_en_08.pdf#page=514, AREG_UserManual_en_08.pdf#page=516, AREG_UserManual_en_08.pdf#page=579"
:ADJUST:ALL,action,extracted,"AREG_UserManual_en_08.pdf#page=166, AREG_UserManual_en_08.pdf#page=467, AREG_UserManual_en_08.pdf#page=472, AREG_UserManual_en_08.pdf#page=581"
:ADJUST:LEVEL,action,extracted,"AREG_UserManual_en_08.pdf#page=166, AREG_UserManual_en_08.pdf#page=467, AREG_UserManual_en_08.pdf#page=470, AREG_UserManual_en_08.pdf#page=472, AREG_UserManual_en_08.pdf#page=581"
:ADJUST:LEVEL:DIGHEADROOM,action,extracted,"AREG_UserManual_en_08.pdf#page=167, AREG_UserManual_en_08.pdf#page=467, AREG_UserManual_en_08.pdf#page=472, AREG_UserManual_en_08.pdf#page=581"
:ADJUST:LEVEL:OTIME,action,extracted,"AREG_UserManual_en_08.pdf#page=167, AREG_UserManual_en_08.pdf#page=467, AREG_UserManual_en_08.pdf#page=471, AREG_UserManual_en_08.pdf#page=472, AREG_UserManual_en_08.pdf#page=581"
:ADJUST:VALUE,action,extracted,"AREG_UserManual_en_08.pdf#page=172, AREG_UserManual_en_08.pdf#page=514, AREG_UserManual_en_08.pdf#page=516, AREG_UserManual_en_08.pdf#page=579"
:ALIAS,action,extracted,"AREG_UserManual_en_08.pdf#page=125, AREG_UserManual_en_08.pdf#page=155, AREG_UserManual_en_08.pdf#page=475, AREG_UserManual_en_08.pdf#page=499, AREG_UserManual_en_08.pdf#page=581, AREG_UserManual_en_08.pdf#page=583"
:ALL,action,extracted,"AREG_UserManual_en_08.pdf#page=184, AREG_UserManual_en_08.pdf#page=384, AREG_UserManual_en_08.pdf#page=386, AREG_UserManual_en_08.pdf#page=441, AREG_UserManual_en_08.pdf#page=521, AREG_UserManual_en_08.pdf#page=524, AREG_UserManual_en_08.pdf#page=575, AREG_UserManual_en_08.pdf#page=576"
:ALL:DATE?,query,extracted,"AREG_UserManual_en_08.pdf#page=369, AREG_UserManual_en_08.pdf#page=554, AREG_UserManual_en_08.pdf#page=575"
:ALL:INFORMATION?,query,extracted,"AREG_UserManual_en_08.pdf#page=369, AREG_UserManual_en_08.pdf#page=370, AREG_UserManual_en_08.pdf#page=554, AREG_UserManual_en_08.pdf#page=575"
:ALL:RESULT?,query,extracted,"AREG_UserManual_en_08.pdf#page=440, AREG_UserManual_en_08.pdf#page=441, AREG_UserManual_en_08.pdf#page=579"
:ALL:START,action,extracted,"AREG_UserManual_en_08.pdf#page=440, AREG_UserManual_en_08.pdf#page=441, AREG_UserManual_en_08.pdf#page=579"
:ALL:TEMP?,query,extracted,"AREG_UserManual_en_08.pdf#page=369, AREG_UserManual_en_08.pdf#page=370, AREG_UserManual_en_08.pdf#page=554, AREG_UserManual_en_08.pdf#page=575"
:ALL:TIME?,query,extracted,"AREG_UserManual_en_08.pdf#page=369, AREG_UserManual_en_08.pdf#page=370, AREG_UserManual_en_08.pdf#page=554, AREG_UserManual_en_08.pdf#page=575"
:ANGLE,action,extracted,"AREG_UserManual_en_08.pdf#page=106, AREG_UserManual_en_08.pdf#page=157, AREG_UserManual_en_08.pdf#page=449, AREG_UserManual_en_08.pdf#page=499, AREG_UserManual_en_08.pdf#page=583"
:ANGLE:HORIZONTAL,action,extracted,"AREG_UserManual_en_08.pdf#page=106, AREG_UserManual_en_08.pdf#page=447, AREG_UserManual_en_08.pdf#page=448, AREG_UserManual_en_08.pdf#page=582"
:ANTENNA,action,extracted,"AREG_UserManual_en_08.pdf#page=475, AREG_UserManual_en_08.pdf#page=481, AREG_UserManual_en_08.pdf#page=482, AREG_UserManual_en_08.pdf#page=483, AREG_UserManual_en_08.pdf#page=484"
:ANTENNA:CUSTOM,action,extracted,"AREG_UserManual_en_08.pdf#page=128, AREG_UserManual_en_08.pdf#page=475, AREG_UserManual_en_08.pdf#page=481, AREG_UserManual_en_08.pdf#page=482, AREG_UserManual_en_08.pdf#page=483, AREG_UserManual_en_08.pdf#page=484, AREG_UserManual_en_08.pdf#page=581"
:ANTENNA:CUSTOM:EXPORT,action,extracted,AREG_UserManual_en_08.pdf#page=581
:ANTENNA:CUSTOM:FLIST,action,extracted,AREG_UserManual_en_08.pdf#page=581
:ANTENNA:CUSTOM:FPOINTS,action,extracted,AREG_UserManual_en_08.pdf#page=581
:ANTENNA:CUSTOM:IMPORT,action,extracted,AREG_UserManual_en_08.pdf#page=581
:ANTENNA:GAIN:RX,action,extracted,"AREG_UserManual_en_08.pdf#page=128, AREG_UserManual_en_08.pdf#page=475, AREG_UserManual_en_08.pdf#page=484, AREG_UserManual_en_08.pdf#page=581"
:ANTENNA:GAIN:TX,action,extracted,"AREG_UserManual_en_08.pdf#page=128, AREG_UserManual_en_08.pdf#page=475, AREG_UserManual_en_08.pdf#page=484, AREG_UserManual_en_08.pdf#page=581"
:APERTURE:DEFAULT:STATE,action,extracted,"AREG_UserManual_en_08.pdf#page=181, AREG_UserManual_en_08.pdf#page=522, AREG_UserManual_en_08.pdf#page=526, AREG_UserManual_en_08.pdf#page=576"
:APERTURE:TIME,action,extracted,"AREG_UserManual_en_08.pdf#page=182, AREG_UserManual_en_08.pdf#page=522, AREG_UserManual_en_08.pdf#page=526, AREG_UserManual_en_08.pdf#page=576"
:AREGENERATOR:CHANNEL,action,extracted,"AREG_UserManual_en_08.pdf#page=159, AREG_UserManual_en_08.pdf#page=467, AREG_UserManual_en_08.pdf#page=469, AREG_UserManual_en_08.pdf#page=580"
:AREGENERATOR:CHANNEL:BW,action,extracted,"AREG_UserManual_en_08.pdf#page=159, AREG_UserManual_en_08.pdf#page=467, AREG_UserManual_en_08.pdf#page=579"
:AREGENERATOR:CHANNEL:CATALOG?,query,extracted,"AREG_UserManual_en_08.pdf#page=467, AREG_UserManual_en_08.pdf#page=579"
:AREGENERATOR:CHANNEL:CONDITION,action,extracted,"AREG_UserManual_en_08.pdf#page=115, AREG_UserManual_en_08.pdf#page=467, AREG_UserManual_en_08.pdf#page=468, AREG_UserManual_en_08.pdf#page=579"
:AREGENERATOR:CHANNEL:CONDITION:INFO,action,extracted,"AREG_UserManual_en_08.pdf#page=116, AREG_UserManual_en_08.pdf#page=467, AREG_UserManual_en_08.pdf#page=468, AREG_UserManual_en_08.pdf#page=579"
:AREGENERATOR:CHANNEL:ID?,query,extracted,"AREG_UserManual_en_08.pdf#page=159, AREG_UserManual_en_08.pdf#page=165, AREG_UserManual_en_08.pdf#page=467, AREG_UserManual_en_08.pdf#page=469, AREG_UserManual_en_08.pdf#page=579"
:AREGENERATOR:CHANNEL:INPUT:NOMGAIN,action,extracted,"AREG_UserManual_en_08.pdf#page=161, AREG_UserManual_en_08.pdf#page=467, AREG_UserManual_en_08.pdf#page=470, AREG_UserManual_en_08.pdf#page=579"
:AREGENERATOR:CHANNEL:INPUT:RELLEVEL?,query,extracted,"AREG_UserManual_en_08.pdf#page=162, AREG_UserManual_en_08.pdf#page=467, AREG_UserManual_en_08.pdf#page=470, AREG_UserManual_en_08.pdf#page=580"
:AREGENERATOR:CHANNEL:NAME,action,extracted,"AREG_UserManual_en_08.pdf#page=159, AREG_UserManual_en_08.pdf#page=165, AREG_UserManual_en_08.pdf#page=467, AREG_UserManual_en_08.pdf#page=469, AREG_UserManual_en_08.pdf#page=580"
:AREGENERATOR:CHANNEL:OPTIMIZATION:MODE,action,extracted,"AREG_UserManual_en_08.pdf#page=161, AREG_UserManual_en_08.pdf#page=467, AREG_UserManual_en_08.pdf#page=469, AREG_UserManual_en_08.pdf#page=580"
:AREGENERATOR:CHANNEL:SYSTEM:ALIGNMENT,action,extracted,"AREG_UserManual_en_08.pdf#page=161, AREG_UserManual_en_08.pdf#page=467, AREG_UserManual_en_08.pdf#page=470, AREG_UserManual_en_08.pdf#page=580"
:AREGENERATOR:DLOGGING,action,extracted,"AREG_UserManual_en_08.pdf#page=110, AREG_UserManual_en_08.pdf#page=461, AREG_UserManual_en_08.pdf#page=462, AREG_UserManual_en_08.pdf#page=580"
:AREGENERATOR:DLOGGING:CLEAR,action,extracted,"AREG_UserManual_en_08.pdf#page=112, AREG_UserManual_en_08.pdf#page=461, AREG_UserManual_en_08.pdf#page=462, AREG_UserManual_en_08.pdf#page=580"
:AREGENERATOR:DLOGGING:DATA,action,extracted,"AREG_UserManual_en_08.pdf#page=112, AREG_UserManual_en_08.pdf#page=461, AREG_UserManual_en_08.pdf#page=580"
:AREGENERATOR:DLOGGING:LEVEL,action,extracted,"AREG_UserManual_en_08.pdf#page=111, AREG_UserManual_en_08.pdf#page=461, AREG_UserManual_en_08.pdf#page=580"
:AREGENERATOR:DLOGGING:NERROR?,query,extracted,"AREG_UserManual_en_08.pdf#page=112, AREG_UserManual_en_08.pdf#page=461, AREG_UserManual_en_08.pdf#page=462, AREG_UserManual_en_08.pdf#page=580"
:AREGENERATOR:DLOGGING:NINFO?,query,extracted,"AREG_UserManual_en_08.pdf#page=112, AREG_UserManual_en_08.pdf#page=461, AREG_UserManual_en_08.pdf#page=462, AREG_UserManual_en_08.pdf#page=580"
:AREGENERATOR:DLOGGING:NWARNING?,query,extracted,"AREG_UserManual_en_08.pdf#page=112, AREG_UserManual_en_08.pdf#page=461, AREG_UserManual_en_08.pdf#page=462, AREG_UserManual_en_08.pdf#page=580"
:AREGENERATOR:DLOGGING:SAVE,action,extracted,"AREG_UserManual_en_08.pdf#page=112, AREG_UserManual_en_08.pdf#page=461, AREG_UserManual_en_08.pdf#page=462, AREG_UserManual_en_08.pdf#page=580"
:AREGENERATOR:EFRONTEND:FE,action,extracted,"AREG_UserManual_en_08.pdf#page=144, AREG_UserManual_en_08.pdf#page=145, AREG_UserManual_en_08.pdf#page=146, AREG_UserManual_en_08.pdf#page=147, AREG_UserManual_en_08.pdf#page=148, AREG_UserManual_en_08.pdf#page=149, AREG_UserManual_en_08.pdf#page=476, AREG_UserManual_en_08.pdf#page=493, AREG_UserManual_en_08.pdf#page=494, AREG_UserManual_en_08.pdf#page=495, AREG_UserManual_en_08.pdf#page=496, AREG_UserManual_en_08.pdf#page=497, AREG_UserManual_en_08.pdf#page=498, AREG_UserManual_en_08.pdf#page=580"
:AREGENERATOR:EXTERNAL:REMOTE:ADD,action,extracted,"AREG_UserManual_en_08.pdf#page=142, AREG_UserManual_en_08.pdf#page=476, AREG_UserManual_en_08.pdf#page=490, AREG_UserManual_en_08.pdf#page=580"
:AREGENERATOR:EXTERNAL:REMOTE:CLEAN,action,extracted,"AREG_UserManual_en_08.pdf#page=143, AREG_UserManual_en_08.pdf#page=476, AREG_UserManual_en_08.pdf#page=492, AREG_UserManual_en_08.pdf#page=580"
:AREGENERATOR:EXTERNAL:REMOTE:DELETE,action,extracted,"AREG_UserManual_en_08.pdf#page=143, AREG_UserManual_en_08.pdf#page=476, AREG_UserManual_en_08.pdf#page=492, AREG_UserManual_en_08.pdf#page=580"
:AREGENERATOR:EXTERNAL:REMOTE:EDIT:ALIAS,action,extracted,"AREG_UserManual_en_08.pdf#page=142, AREG_UserManual_en_08.pdf#page=476, AREG_UserManual_en_08.pdf#page=491, AREG_UserManual_en_08.pdf#page=580"
:AREGENERATOR:EXTERNAL:REMOTE:EDIT:APPLY,action,extracted,"AREG_UserManual_en_08.pdf#page=143, AREG_UserManual_en_08.pdf#page=476, AREG_UserManual_en_08.pdf#page=491, AREG_UserManual_en_08.pdf#page=580"
:AREGENERATOR:EXTERNAL:REMOTE:EDIT:DEVICE,action,extracted,"AREG_UserManual_en_08.pdf#page=143, AREG_UserManual_en_08.pdf#page=476, AREG_UserManual_en_08.pdf#page=491, AREG_UserManual_en_08.pdf#page=580"
:AREGENERATOR:EXTERNAL:REMOTE:EDIT:HOSTNAME,action,extracted,"AREG_UserManual_en_08.pdf#page=142, AREG_UserManual_en_08.pdf#page=476, AREG_UserManual_en_08.pdf#page=491, AREG_UserManual_en_08.pdf#page=580"
:AREGENERATOR:EXTERNAL:REMOTE:EDIT:ISELECT,action,extracted,"AREG_UserManual_en_08.pdf#page=142, AREG_UserManual_en_08.pdf#page=476, AREG_UserManual_en_08.pdf#page=490, AREG_UserManual_en_08.pdf#page=580"
:AREGENERATOR:EXTERNAL:REMOTE:LIST?,query,extracted,"AREG_UserManual_en_08.pdf#page=143, AREG_UserManual_en_08.pdf#page=476, AREG_UserManual_en_08.pdf#page=492, AREG_UserManual_en_08.pdf#page=580"
:AREGENERATOR:EXTERNAL:REMOTE:RENAME,action,extracted,"AREG_UserManual_en_08.pdf#page=143, AREG_UserManual_en_08.pdf#page=476, AREG_UserManual_en_08.pdf#page=492, AREG_UserManual_en_08.pdf#page=580"
:AREGENERATOR:FRONTEND,action,extracted,"AREG_UserManual_en_08.pdf#page=125, AREG_UserManual_en_08.pdf#page=130, AREG_UserManual_en_08.pdf#page=134, AREG_UserManual_en_08.pdf#page=137, AREG_UserManual_en_08.pdf#page=140, AREG_UserManual_en_08.pdf#page=153, AREG_UserManual_en_08.pdf#page=154, AREG_UserManual_en_08.pdf#page=486, AREG_UserManual_en_08.pdf#page=487, AREG_UserManual_en_08.pdf#page=488"
:AREGENERATOR:FRONTEND:ANTENNA:CUSTOM:IMPORT,action,extracted,"AREG_UserManual_en_08.pdf#page=129, AREG_UserManual_en_08.pdf#page=483"
:AREGENERATOR:FRONTEND:ANTENNA:CUSTOM:IMPORT:PREDEFINED,action,extracted,AREG_UserManual_en_08.pdf#page=475
:AREGENERATOR:FRONTEND:ANTENNA:CUSTOM:IMPORT:PREDEFINED:CATALOG?,query,extracted,AREG_UserManual_en_08.pdf#page=580
:AREGENERATOR:FRONTEND:CFE,action,extracted,"AREG_UserManual_en_08.pdf#page=125, AREG_UserManual_en_08.pdf#page=475, AREG_UserManual_en_08.pdf#page=478, AREG_UserManual_en_08.pdf#page=580"
:AREGENERATOR:FRONTEND:FE,action,extracted,"AREG_UserManual_en_08.pdf#page=125, AREG_UserManual_en_08.pdf#page=139, AREG_UserManual_en_08.pdf#page=475, AREG_UserManual_en_08.pdf#page=477, AREG_UserManual_en_08.pdf#page=478, AREG_UserManual_en_08.pdf#page=479, AREG_UserManual_en_08.pdf#page=580"
:AREGENERATOR:FRONTEND:LAST:QAT,action,extracted,"AREG_UserManual_en_08.pdf#page=475, AREG_UserManual_en_08.pdf#page=477, AREG_UserManual_en_08.pdf#page=580"
